,ID,Address,Longitude,Latitude
191,Space Invader PA_0240, face au 23 boulevard Diderot,2.373868,48.845741
192,Space Invader PA_0241, mÃƒÂ©tro Bel-Air face sud,2.400885,48.841006
193,Space Invader PA_0242, 94-100 avenue Saint-MandÃƒÂ©,2.406932,48.844487
194,Space Invader PA_0243, 8bis rue Abel,2.375117,48.846819
195,Space Invader PA_0245, 47 rue Oberkampf,2.371976,48.864602
196,Space Invader PA_0247, 1 rue Firmin Gillot,2.289533,48.833349
197,Space Invader PA_0248, 64 rue de la Fontaine au Roi,2.374516,48.868299
198,Space Invader PA_0250, entrÃƒÂ©e du mini-square de Jemmapes,2.367355,48.868861
199,Space Invader PA_0251, ÃƒÂ  l'ouest de la fontaine des Innocents,2.348006,48.860668
200,Space Invader PA_0253, pont de l'Alma cÃƒÂ´tÃƒÂ© rive droite,2.301387,48.864059
201,Space Invader PA_0254, 101 avenue des Champs-Ãƒâ€°lysÃƒÂ©es,2.300541,48.871809
202,Space Invader PA_0255, sous le banc face ÃƒÂ  l'arrÃƒÂªt de bus Varsovie,2.291354,48.861297
203,Space Invader PA_0256, place de Varsovie,2.291805,48.860866
204,Space Invader PA_0257, mÃƒÂ©tro Passy,2.285713,48.857696
205,Space Invader PA_0258, 29 avenue de Lamballe,2.278808,48.854483
206,Space Invader PA_0259, 78 rue d'Auteuil,2.259879,48.84826
207,Space Invader PA_0260, place de l'Ãƒâ€°glise d'Auteuil,2.268704,48.847438
208,Space Invader PA_0262, place de la Nation (cÃƒÂ´tÃƒÂ© avenue du TrÃƒÂ´ne),2.397285,48.848006
209,Space Invader PA_0263, sur les marches du mÃƒÂ©tro Victor Hugo,2.285663,48.86995
210,Space Invader PA_0264, 115 rue de la Tour,2.275514,48.862998
211,Space Invader PA_0265, face au 27 boulevard Jules Sandeau,2.272269,48.862923
212,Space Invader PA_0266, 11 rue de la Manutention,2.29564,48.864649
213,Space Invader PA_0267, 10 rue de Magdebourg,2.290235,48.864144
214,Space Invader PA_0268, 96 rue de Courcelles,2.303607,48.879002
215,Space Invader PA_0269, sur le Chasseur ÃƒÂ  pied de la Redoute de Gravelle,2.45549,48.818166
216,Space Invader PA_0270, 2 rue Yves Toudic,2.36524,48.86818
217,Space Invader PA_0271, 7 rue Vancouleurs,2.377477,48.869135
218,Space Invader PA_0272, 96 rue de Tolbiac,2.364164,48.8268
219,Space Invader PA_0273, 21 rue Aubry le Boucher,2.350215,48.860374
220,Space Invader PA_0275, 14 rue Pierre Dupont,2.365226,48.879429
221,Space Invader PA_0277, 31 rue de Charonne,2.375826,48.853336
222,Space Invader PA_0278, 53 rue des MaraÃƒÂ®chers,2.40656,48.85287
223,Space Invader PA_0279, 116 rue du Faubourg du Temple,2.37615,48.87163
224,Space Invader PA_0280, 8 rue Spinoza,2.385976,48.863872
225,Space Invader PA_0282, 61 rue de la Verrerie,2.352673,48.858056
226,Space Invader PA_0283, 101 rue du Faubourg du Temple,2.37355,48.87084
227,Space Invader PA_0285, passage Ben Aiad,2.34607,48.86603
228,Space Invader PA_0286, 28 rue du Chevalier de la Barre,2.344445,48.887508
229,Space Invader PA_0291, 15 rue des PlÃƒÂ¢triÃƒÂ¨res,2.390122,48.867868
230,Space Invader PA_0293, 84 rue du Faubourg du Temple,2.37335,48.870664
231,Space Invader PA_0294, 14 rue de Moussy,2.35607,48.85821
232,Space Invader PA_0295, 4 rue du Jour,2.344822,48.863788
233,Space Invader PA_0301, 44 rue de Charenton,2.373484,48.850261
234,Space Invader PA_0302, 37 rue de Belleville,2.389857,48.879066
235,Space Invader PA_0303, 24 passage Boiton,2.35075,48.82682
236,Space Invader PA_0305, face au 49 rue Geoffroy-Saint-Hilaire,2.35551,48.84271
237,Space Invader PA_0307, 77 rue de MÃƒÂ©nilmontant,2.389394,48.868685
238,Space Invader PA_0308, 2 quai du 4 septembre,2.225299,48.841443
239,Space Invader PA_0309, 1 boulevard de l'Amiral Bruix,2.282737,48.876904
240,Space Invader PA_0310 & PA_1335, passerelle de la Porte de Saint-Cloud,2.255328,48.83748
241,Space Invader PA_0311, face au 5 rue BrÃƒÂ©a,2.330293,48.843579
242,Space Invader PA_0312, parvis de Saint-Pierre de Montrouge,2.327061,48.828366
243,Space Invader PA_0315, face au 32 boulevard Auguste Blanqui,2.351154,48.830074
244,Space Invader PA_0316 & PA_0940, rue des Artistes,2.334741,48.827372
245,Space Invader PA_0317, devant la Fondation Cartier,2.33168,48.83667
246,Space Invader PA_0320, 34 rue du Faubourg Saint-Jacques,2.338129,48.836622
247,Space Invader PA_0321, 17 rue Malebranche,2.342015,48.846537
248,Space Invader PA_0322, 77 allÃƒÂ©e du SÃƒÂ©minaire,2.332883,48.848861
249,Space Invader PA_0323, 102 rue de Charonne,2.384158,48.85437
250,Space Invader PA_0325, 17 rue Robineau,2.39397,48.86496
251,Space Invader PA_0326, 10 rue de Picpus,2.39293,48.84783
252,Space Invader PA_0327, 29 rue du Faubourg PoissonniÃƒÂ¨re,2.34781,48.87301
253,Space Invader PA_0328, 40 rue Ãƒâ€°tienne Marcel,2.344234,48.865113
254,Space Invader PA_0329, 14 rue Pajol,2.36116,48.88652
255,Space Invader PA_0330, 102 rue du Faubourg PoissonniÃƒÂ¨re,2.349266,48.878407
256,Space Invader PA_0331, 2 rue Pierre au Lard,2.353003,48.859389
257,Space Invader PA_0332, 41 rue du Repos sous la plaque du cimÃƒÂ¨tiÃƒÂ¨re,2.38935,48.859626
258,Space Invader PA_0333, 39 rue Condorcet,2.344263,48.880004
259,Space Invader PA_0334, 7-13 Place Valhubert,2.363976,48.84398
260,Space Invader PA_0335, 135 boulevard de la Villette,2.369949,48.882124
261,Space Invader PA_0336, centre d'HygiÃƒÂ¨ne Sociale,2.353239,48.890439
262,Space Invader PA_0339, square du Docteur-Grancher,2.39475,48.86541
263,Space Invader PA_0340, 45 quai de Bourbon,2.35363,48.85356
264,Space Invader PA_0342, 19 rue LaferriÃƒÂ¨re,2.336928,48.879075
265,Space Invader PA_0343, pont d'IÃƒÂ©na (rive droite),2.291105,48.860173
266,Space Invader PA_0344, tunnel du quai Branly,2.293519,48.859365
267,Space Invader PA_0345, 95 rue de SÃƒÂ¨vres,2.32166,48.84892
268,Space Invader PA_0346, 16 boulevard Pasteur,2.312245,48.842905
269,Space Invader PA_0347, passage des Ãƒâ€°pinettes,2.325474,48.843163
270,Space Invader PA_0348, 39bis boulevard de la Chapelle,2.356254,48.884037
271,Space Invader PA_0349, 7 avenue Bosquet,2.302593,48.861245
272,Space Invader PA_0350, ÃƒÂ©cole primaire de l'avenue d'Ivry,2.365082,48.822933
273,Space Invader PA_0351, 121 rue de MÃƒÂ©nilmontant,2.394195,48.870021
274,Space Invader PA_0352, 21 rue d'Alsace,2.358214,48.877675
275,Space Invader PA_0353, sortie de mÃƒÂ©tro face au 27 boulevard de la Madeleine,2.32475,48.86946
276,Space Invader PA_0354, 13 rue Jean Lantier,2.345915,48.858659
277,Space Invader PA_0355, 4 rue de la Grande Truanderie,2.349708,48.862629
278,Space Invader PA_0357, 21 boulevard Lefebvre,2.290355,48.832037
279,Space Invader PA_0358, 14 rue de Savies,2.391285,48.871463
280,Space Invader PA_0359, 45 rue Saint-Roch,2.332864,48.866424
281,Space Invader PA_0360, 0 rue Saint-Roch,2.331188,48.863935
282,Space Invader PA_0362, en face de Chez Prune,2.364704,48.871724
