ID;Address;Longitude;Latitude
LDN_0069;Unknown;-0.10205;51.519944
LDN_0070;Unknown;-0.098571;51.520595
LDN_0071;Unknown;-0.133475;51.514839
LDN_0072;Unknown;-0.128118;51.510158
LDN_0073;Unknown;-0.132531;51.516693
LDN_0074;Unknown;-0.078856;51.524474
LDN_0075;Unknown;-0.086837;51.524601
LDN_0076;Unknown;-0.08026;51.526034
LDN_0077;Unknown;-0.083614;51.526269
LDN_0078;Unknown;-0.080458;51.525794
LDN_0079;Unknown;-0.106835;51.522112
LDN_0080;Unknown;-0.10613;51.522383
LDN_0081;Unknown;-0.100159;51.52005
LDN_0082;Unknown;-0.096098;51.507237
LDN_0083;Unknown;-0.092043;51.505231
LDN_0084;Unknown;-0.108552;51.502552
LDN_0085;Unknown;-0.10385;51.506994
LDN_0086;Unknown;-0.078886;51.52714
LDN_0087;Unknown;-0.086981;51.525997
LDN_0088;Unknown;-0.120643;51.530278
LDN_0089;Unknown;-0.120466;51.517967
LDN_0090;Unknown;-0.130763;51.516338
LDN_0091;Unknown;-0.137066;51.514784
LDN_0092;Unknown;-0.136449;51.514944
LDN_0093;Unknown;-0.092719;51.507381
LDN_0094;Unknown;-0.088955;51.505847
LDN_0095;Unknown;-0.196745;51.509109
LDN_0096;Unknown;-0.134823;51.514424
LDN_0097;Unknown;-0.079061;51.526288
LDN_0098;Unknown;-0.083803;51.514161
LDN_0099;Unknown;-0.079587;51.5181
LDN_0100;Unknown;-0.061134;51.537641
LDN_0101;Unknown;-0.078074;51.521772
LDN_Bonus;Unknown;-0.083572;51.521608
LDN_Bonus;Unknown;-0.083615;51.526308
LDN_Bonus;Unknown;-0.0821;51.523289
LDN_Bonus;Unknown;-0.133344;51.516806
LDN_Bonus;Unknown;-0.132063;51.513105
LDN_Fake;Unknown;-0.199838;51.508392
LDN_Fake;Unknown;-0.204366;51.515972
LDN_Fake;Unknown;-0.194109;51.509598
LDN_Fake;Unknown;-0.110271;51.502145
LDN_Fake;Unknown;-0.138849;51.513812
LDN_Fake;Unknown;-0.132034;51.512619
LDN_Fake;Unknown;-0.124747;51.516314
LDN_Fake;Unknown;-0.071153;51.523542
LJU_0001;Pod turnom 3, Inside MGLC;14.492948;46.054692
LJU_0002;Unknown;;
LJU_0003;Unknown;;
LJU_0004;Unknown;;
LJU_0005;Unknown;;
LJU_0006;Unknown;;
LJU_0007;Unknown;;
LJU_0008;Pod turnom 3, Tivoli Castle;14.493099;46.0547389
LJU_0009;Trubarjeva cesta 7;14.50762;46.052049
LJU_0010;Metelkova ulica 9, Accross the street - entrance pillar;14.515853;46.05645
LJU_0011;Tabor 4;14.516726;46.05378
LJU_0012;Resljeva cesta 2, Building next to pedestrian crossing;14.510176;46.052406
LJU_0013;Židovska steza 7;14.504983;46.048625
LJU_0014;Židovska ulica 1;14.504941;46.049066
LJU_0015;Cankarjevo nabrežje 25;14.505701;46.049103
LJU_0016;Cankarjevo nabrežje 13;14.505698;46.04979
LJU_0017;Cankarjevo nabrežje 1, Triple Bridge;14.506137;46.050971
LJU_0018;Masarykova cesta 15;14.517164;46.057629
LJU_0019;Masarykova cesta 15, Metelkova entrance pillar;14.517069;46.057522
LJU_0020;Unknown;;
LJU_0021;Zaloška cesta 16;14.530124;46.054564
LJU_0022;Zaloška cesta 55;14.534499;46.056235
LJU_0023;Trg prekomorskih brigad 3, Kino Šiška;14.489014;46.069094
LJU_0024;Eipprova ulica 1a, Eipprova ulica & Trnovski pristan;14.505499;46.043592
LJU_0025;Hradeckega most, Hradeckega Bridge;14.505312;46.044411
LJU_0026;Privoz 17;14.510934;46.04086
LJU_0027;Gruberjevo nabrežje 14;14.512785;46.0411191
LJU_0028;Celovška cesta 103, Bar Šiška;14.491255;46.067452
LJU_0029;Poljanska cesta 30a;14.51946;46.048558
LJU_0030;Tržaška c. 2;14.494757;46.047448
